name,age,experience,city,role,education,salary_lpa,city_tier,exp_level,age_group,edu_numeric,role_numeric
Employee_192,26,1,Mumbai,Data Scientist,12th/Diploma,23.39,1,Fresher,Mid Career,1,6
Employee_193,53,10,Pune,HR,Bachelor's,7.7,2,Senior,Expert,2,1
Employee_194,30,8,Pune,ML Engineer,MBA/M.Tech,12.24,2,Mid,Mid Career,4,7
Employee_195,40,23,Pune,Data Analyst,12th/Diploma,3.21,2,Lead,Senior Career,1,5
Employee_196,37,2,Mumbai,Data Scientist,PhD,21.88,1,Junior,Senior Career,5,6
Employee_197,24,8,Pune,DevOps,Bachelor's,19.09,2,Mid,Early Career,2,4
Employee_198,41,2,Pune,DevOps,12th/Diploma,23.83,2,Junior,Senior Career,1,4
Employee_199,45,24,Hyderabad,Data Scientist,Bachelor's,20.2,1,Lead,Senior Career,2,6
Employee_200,54,1,Bangalore,Data Scientist,Bachelor's,9.9,1,Fresher,Expert,2,6
Employee_201,45,11,Delhi,Data Analyst,B.Tech,8.45,1,Senior,Senior Career,3,5
Employee_202,32,9,Bangalore,Data Scientist,Bachelor's,18.35,1,Senior,Mid Career,2,6
Employee_203,29,8,Hyderabad,Data Analyst,B.Tech,11.01,1,Mid,Mid Career,3,5
Employee_204,41,14,Delhi,DevOps,MBA/M.Tech,15.46,1,Senior,Senior Career,4,4
Employee_205,46,7,Pune,Data Scientist,B.Tech,3.14,2,Mid,Expert,3,6
Employee_206,46,24,Hyderabad,HR,PhD,4.36,1,Lead,Expert,5,1
Employee_207,50,4,Pune,HR,12th/Diploma,14.78,2,Junior,Expert,1,1
Employee_208,39,10,Mumbai,DevOps,MBA/M.Tech,15.45,1,Senior,Senior Career,4,4
Employee_209,39,1,Jaipur,Data Analyst,MBA/M.Tech,19.53,2,Fresher,Senior Career,4,5
Employee_210,23,23,Hyderabad,HR,PhD,5.9,1,Lead,Early Career,5,1
Employee_211,37,14,Mumbai,Data Analyst,B.Tech,14.29,1,Senior,Senior Career,3,5
Employee_212,54,5,Hyderabad,HR,12th/Diploma,7.28,1,Mid,Expert,1,1
Employee_213,25,7,Hyderabad,HR,B.Tech,5.05,1,Mid,Early Career,3,1
Employee_214,54,4,Mumbai,Data Analyst,Bachelor's,12.03,1,Junior,Expert,2,5
Employee_215,35,15,Delhi,ML Engineer,B.Tech,6.59,1,Senior,Mid Career,3,7
Employee_216,42,17,Bangalore,HR,MBA/M.Tech,7.88,1,Lead,Senior Career,4,1
Employee_217,41,5,Pune,Data Scientist,12th/Diploma,9.99,2,Mid,Senior Career,1,6
Employee_218,29,4,Hyderabad,DevOps,B.Tech,8.71,1,Junior,Mid Career,3,4
Employee_219,28,15,Pune,ML Engineer,12th/Diploma,4.93,2,Senior,Mid Career,1,7
Employee_220,24,12,Jaipur,Data Analyst,12th/Diploma,4.98,2,Senior,Early Career,1,5
Employee_221,38,4,Mumbai,ML Engineer,Bachelor's,7.25,1,Junior,Senior Career,2,7
Employee_222,54,12,Pune,Software Developer,Bachelor's,4.11,2,Senior,Expert,2,3
Employee_223,33,16,Mumbai,Software Developer,MBA/M.Tech,16.78,1,Lead,Mid Career,4,3
Employee_224,43,17,Pune,HR,PhD,9.32,2,Lead,Senior Career,5,1
Employee_225,43,7,Bangalore,HR,12th/Diploma,9.15,1,Mid,Senior Career,1,1
Employee_226,51,12,Bangalore,Data Scientist,PhD,10.3,1,Senior,Expert,5,6
Employee_227,29,18,Bangalore,DevOps,MBA/M.Tech,17.58,1,Lead,Mid Career,4,4
Employee_228,48,2,Bangalore,ML Engineer,12th/Diploma,22.15,1,Junior,Expert,1,7
Employee_229,48,23,Bangalore,Software Developer,12th/Diploma,19.7,1,Lead,Expert,1,3
Employee_230,42,7,Bangalore,HR,PhD,19.01,1,Mid,Senior Career,5,1
Employee_231,51,1,Mumbai,DevOps,B.Tech,13.66,1,Fresher,Expert,3,4
Employee_232,54,7,Hyderabad,ML Engineer,Bachelor's,18.26,1,Mid,Expert,2,7
Employee_233,49,12,Pune,HR,B.Tech,15.16,2,Senior,Expert,3,1
Employee_234,54,12,Bangalore,HR,PhD,7.76,1,Senior,Expert,5,1
Employee_235,26,0,Mumbai,Software Developer,Bachelor's,7.59,1,Fresher,Mid Career,2,3
Employee_236,40,5,Mumbai,Software Developer,B.Tech,9.52,1,Mid,Senior Career,3,3
Employee_237,25,23,Mumbai,HR,Bachelor's,23.04,1,Lead,Early Career,2,1
Employee_238,38,18,Hyderabad,Data Analyst,12th/Diploma,15.04,1,Lead,Senior Career,1,5
Employee_239,49,15,Pune,HR,B.Tech,19.15,2,Senior,Expert,3,1
Employee_240,51,7,Hyderabad,DevOps,Bachelor's,10.62,1,Mid,Expert,2,4
Employee_241,50,0,Delhi,HR,Bachelor's,11.97,1,Fresher,Expert,2,1
Employee_242,27,15,Mumbai,Data Scientist,Bachelor's,5.76,1,Senior,Mid Career,2,6
Employee_243,45,8,Delhi,Data Scientist,B.Tech,6.77,1,Mid,Senior Career,3,6
Employee_244,50,12,Jaipur,Data Scientist,MBA/M.Tech,21.2,2,Senior,Expert,4,6
Employee_245,52,10,Bangalore,Data Analyst,B.Tech,15.87,1,Senior,Expert,3,5
Employee_246,54,12,Bangalore,Data Analyst,PhD,10.43,1,Senior,Expert,5,5
Employee_247,42,24,Hyderabad,HR,B.Tech,20.66,1,Lead,Senior Career,3,1
Employee_248,53,20,Pune,Data Scientist,Bachelor's,8.42,2,Lead,Expert,2,6
Employee_249,44,9,Delhi,Data Analyst,12th/Diploma,24.47,1,Senior,Senior Career,1,5
Employee_250,54,3,Pune,Software Developer,B.Tech,10.59,2,Junior,Expert,3,3
Employee_251,24,5,Hyderabad,HR,B.Tech,10.42,1,Mid,Early Career,3,1
Employee_252,39,6,Bangalore,DevOps,Bachelor's,9.86,1,Mid,Senior Career,2,4
Employee_253,46,4,Pune,ML Engineer,12th/Diploma,5.69,2,Junior,Expert,1,7
Employee_254,52,10,Pune,HR,12th/Diploma,5.45,2,Senior,Expert,1,1
Employee_255,24,12,Bangalore,ML Engineer,PhD,17.26,1,Senior,Early Career,5,7
Employee_256,45,24,Delhi,Data Scientist,B.Tech,22.25,1,Lead,Senior Career,3,6
Employee_257,53,18,Bangalore,ML Engineer,12th/Diploma,20.39,1,Lead,Expert,1,7
Employee_258,43,22,Pune,Data Scientist,12th/Diploma,6.1,2,Lead,Senior Career,1,6
Employee_259,44,9,Delhi,Software Developer,MBA/M.Tech,15.0,1,Senior,Senior Career,4,3
Employee_260,23,9,Delhi,ML Engineer,MBA/M.Tech,5.32,1,Senior,Early Career,4,7
Employee_261,48,10,Bangalore,HR,12th/Diploma,4.0,1,Senior,Expert,1,1
Employee_262,23,20,Pune,Data Scientist,PhD,17.44,2,Lead,Early Career,5,6
Employee_263,47,6,Hyderabad,HR,12th/Diploma,14.77,1,Mid,Expert,1,1
Employee_264,38,17,Pune,Data Analyst,Bachelor's,4.8,2,Lead,Senior Career,2,5
Employee_265,54,3,Mumbai,Data Scientist,B.Tech,3.77,1,Junior,Expert,3,6
Employee_266,30,1,Jaipur,ML Engineer,PhD,24.77,2,Fresher,Mid Career,5,7
Employee_267,50,13,Hyderabad,Data Scientist,Bachelor's,3.66,1,Senior,Expert,2,6
Employee_268,47,12,Delhi,HR,PhD,12.78,1,Senior,Expert,5,1
Employee_269,46,11,Hyderabad,Software Developer,Bachelor's,14.1,1,Senior,Expert,2,3
Employee_270,45,6,Delhi,Data Scientist,B.Tech,5.58,1,Mid,Senior Career,3,6
Employee_271,34,1,Delhi,ML Engineer,B.Tech,6.72,1,Fresher,Mid Career,3,7
Employee_272,28,12,Hyderabad,Data Analyst,MBA/M.Tech,10.74,1,Senior,Mid Career,4,5
Employee_273,41,13,Delhi,DevOps,Bachelor's,19.76,1,Senior,Senior Career,2,4
Employee_274,22,16,Delhi,Software Developer,MBA/M.Tech,14.16,1,Lead,Early Career,4,3
Employee_275,29,8,Mumbai,Data Analyst,Bachelor's,17.03,1,Mid,Mid Career,2,5
Employee_276,37,16,Pune,Data Scientist,MBA/M.Tech,24.67,2,Lead,Senior Career,4,6
Employee_277,35,7,Pune,HR,B.Tech,19.9,2,Mid,Mid Career,3,1
Employee_278,33,1,Jaipur,HR,PhD,12.56,2,Fresher,Mid Career,5,1
Employee_279,44,23,Jaipur,ML Engineer,MBA/M.Tech,12.82,2,Lead,Senior Career,4,7
Employee_280,36,12,Mumbai,HR,Bachelor's,16.61,1,Senior,Senior Career,2,1
Employee_281,49,2,Jaipur,Software Developer,Bachelor's,17.64,2,Junior,Expert,2,3
Employee_282,23,15,Hyderabad,HR,B.Tech,14.02,1,Senior,Early Career,3,1
Employee_283,53,5,Bangalore,ML Engineer,Bachelor's,17.19,1,Mid,Expert,2,7
Employee_284,44,18,Bangalore,DevOps,12th/Diploma,3.52,1,Lead,Senior Career,1,4
Employee_285,43,6,Bangalore,Data Scientist,PhD,12.45,1,Mid,Senior Career,5,6
Employee_286,46,9,Mumbai,Data Scientist,MBA/M.Tech,9.14,1,Senior,Expert,4,6
Employee_287,43,8,Mumbai,HR,PhD,5.84,1,Mid,Senior Career,5,1
Employee_288,43,1,Delhi,Data Analyst,B.Tech,5.19,1,Fresher,Senior Career,3,5
Employee_289,27,14,Bangalore,Data Scientist,MBA/M.Tech,16.27,1,Senior,Mid Career,4,6
Employee_290,36,4,Hyderabad,DevOps,MBA/M.Tech,14.52,1,Junior,Senior Career,4,4
Employee_291,54,21,Jaipur,HR,12th/Diploma,8.58,2,Lead,Expert,1,1
