name,age,experience,city,role,education,industry,salary_lpa
Employee_125,23,14,Mumbai,AI Engineer,PhD,Startup,17.61
Employee_126,27,2,Bangalore,Data Scientist,Bachelor's,E-commerce,5.32
Employee_127,49,24,Nagpur,AI Engineer,MBA,IT MNC,19.38
Employee_128,49,19,Chandigarh,Data Scientist,MBA,IT MNC,18.09
Employee_129,41,4,Chennai,DevOps Engineer,MBA,IT Indian Company,8.06
Employee_130,51,22,Pune,Product Manager,12th/Diploma,Fintech,14.49
Employee_131,32,4,Pune,Data Analyst,MCA,E-commerce,6.66
Employee_132,49,19,Bhopal,Data Analyst,BCA,Government,6.11
Employee_133,46,14,Hyderabad,Full Stack Developer,Bachelor's,Fintech,9.53
Employee_134,54,17,Lucknow,Software Developer,Bachelor's,Government,5.52
Employee_135,22,14,Gurgaon,Software Developer,MCA,Startup,11.27
Employee_136,48,1,Lucknow,Data Analyst,BCA,Startup,3.1
Employee_137,34,12,Gurgaon,DevOps Engineer,12th/Diploma,Fintech,9.41
Employee_138,24,3,Delhi,QA Tester,MBA,IT Indian Company,5.02
Employee_139,27,9,Ahmedabad,Product Manager,MBA,Healthcare,9.47
Employee_140,29,12,Kolkata,Full Stack Developer,PhD,Government,7.8
Employee_141,48,9,Chennai,DevOps Engineer,PhD,IT Indian Company,10.86
Employee_142,30,8,Jaipur,Software Developer,PhD,Healthcare,8.15
Employee_143,54,7,Bangalore,Full Stack Developer,M.Tech,Healthcare,9.65
Employee_144,45,2,Chennai,AI Engineer,MCA,IT Indian Company,6.22
Employee_145,36,15,Ahmedabad,QA Tester,Bachelor's,Healthcare,6.53
Employee_146,53,13,Gurgaon,ML Engineer,MBA,Healthcare,15.3
Employee_147,53,8,Chennai,Cloud Engineer,M.Tech,Healthcare,9.0
Employee_148,45,20,Indore,Business Analyst,Bachelor's,E-commerce,10.4
Employee_149,33,10,Chandigarh,QA Tester,Bachelor's,Startup,5.27
Employee_150,23,2,Bangalore,Full Stack Developer,MCA,Healthcare,6.07
Employee_151,24,4,Hyderabad,Software Developer,B.Tech,Startup,4.97
Employee_152,38,9,Delhi,DevOps Engineer,PhD,Manufacturing,8.35
Employee_153,23,12,Hyderabad,AI Engineer,M.Tech,Startup,14.96
Employee_154,23,3,Gurgaon,Cloud Engineer,B.Tech,Manufacturing,5.79
Employee_155,49,23,Mumbai,QA Tester,B.Tech,E-commerce,13.9
Employee_156,44,12,Lucknow,Cloud Engineer,M.Tech,Startup,11.27
Employee_157,53,11,Gurgaon,Full Stack Developer,BCA,Fintech,9.12
Employee_158,54,4,Delhi,Cloud Engineer,PhD,IT MNC,11.6
Employee_159,22,9,Indore,AI Engineer,MCA,E-commerce,9.35
Employee_160,40,27,Bangalore,Product Manager,M.Tech,IT MNC,25.52
Employee_161,23,23,Chandigarh,Business Analyst,Bachelor's,Fintech,12.25
Employee_162,47,8,Ahmedabad,DevOps Engineer,M.Tech,IT Indian Company,9.17
Employee_163,53,19,Kolkata,Full Stack Developer,MBA,IT Indian Company,13.94
Employee_164,27,6,Nagpur,Cloud Engineer,M.Tech,Healthcare,7.35
Employee_165,53,1,Hyderabad,Product Manager,BCA,Government,3.74
Employee_166,25,21,Gurgaon,DevOps Engineer,PhD,IT Indian Company,21.9
Employee_167,32,23,Ahmedabad,Data Scientist,PhD,E-commerce,18.5
Employee_168,38,27,Chandigarh,Product Manager,B.Tech,IT Indian Company,14.47
Employee_169,45,22,Hyderabad,Data Scientist,12th/Diploma,E-commerce,10.26
Employee_170,26,6,Gurgaon,Business Analyst,PhD,E-commerce,10.11
Employee_171,55,7,Delhi,Data Scientist,PhD,IT MNC,12.64
Employee_172,27,6,Hyderabad,Product Manager,BCA,IT Indian Company,6.68
Employee_173,43,20,Gurgaon,Cloud Engineer,BCA,Startup,13.67
Employee_174,32,22,Nagpur,Data Scientist,MCA,Manufacturing,10.34
Employee_175,37,13,Bangalore,Cloud Engineer,MBA,IT Indian Company,14.61
Employee_176,54,25,Chandigarh,Cloud Engineer,BCA,IT Indian Company,12.35
Employee_177,30,18,Delhi,DevOps Engineer,M.Tech,IT Indian Company,15.13
Employee_178,27,4,Ahmedabad,HR Manager,MBA,Healthcare,4.18
Employee_179,37,22,Nagpur,AI Engineer,MCA,Startup,16.03
Employee_180,50,24,Ahmedabad,Cloud Engineer,M.Tech,Startup,14.77
Employee_181,24,17,Kolkata,DevOps Engineer,PhD,E-commerce,14.69
Employee_182,41,19,Chennai,ML Engineer,12th/Diploma,Startup,10.01
Employee_183,57,11,Mumbai,Business Analyst,Bachelor's,E-commerce,9.47
Employee_184,40,22,Bangalore,Data Scientist,Bachelor's,Manufacturing,10.39
Employee_185,47,16,Delhi,Business Analyst,B.Tech,IT MNC,13.17
Employee_186,24,12,Hyderabad,Full Stack Developer,PhD,E-commerce,15.87
Employee_187,40,1,Ahmedabad,QA Tester,B.Tech,IT Indian Company,2.5
Employee_188,41,24,Nagpur,Cloud Engineer,12th/Diploma,Fintech,9.26
Employee_189,53,12,Lucknow,Product Manager,Bachelor's,Government,7.13
Employee_190,28,25,Chandigarh,Data Scientist,B.Tech,Fintech,17.33
Employee_191,54,6,Bangalore,Data Scientist,PhD,Healthcare,12.1
Employee_192,39,27,Delhi,ML Engineer,MBA,IT Indian Company,22.49
Employee_193,22,9,Delhi,Full Stack Developer,BCA,Government,5.06
Employee_194,32,22,Hyderabad,DevOps Engineer,MCA,E-commerce,15.94
Employee_195,49,5,Delhi,ML Engineer,M.Tech,IT Indian Company,11.22
Employee_196,46,2,Indore,AI Engineer,B.Tech,Government,3.56
Employee_197,44,25,Jaipur,Data Scientist,12th/Diploma,Healthcare,7.31
Employee_198,52,2,Bangalore,Cloud Engineer,M.Tech,Startup,8.11
Employee_199,51,17,Gurgaon,Cloud Engineer,,E-commerce,12.22
Employee_200,56,10,Indore,Business Analyst,PhD,Manufacturing,7.25
Employee_201,28,21,Indore,ML Engineer,12th/Diploma,IT Indian Company,6.77
Employee_202,37,19,Ahmedabad,Business Analyst,MCA,Startup,8.48
Employee_203,47,4,Ahmedabad,AI Engineer,MCA,Government,5.24
Employee_204,23,18,Gurgaon,Data Analyst,12th/Diploma,Healthcare,8.22
Employee_205,22,21,Bangalore,Software Developer,B.Tech,Startup,13.77
Employee_206,33,26,Bhopal,Product Manager,B.Tech,E-commerce,15.39
Employee_207,26,27,Mumbai,Product Manager,Bachelor's,Healthcare,14.27
Employee_208,53,18,Lucknow,Data Analyst,MBA,Healthcare,10.04
Employee_209,30,14,Bangalore,Data Scientist,Bachelor's,Healthcare,10.25
Employee_210,56,15,Pune,DevOps Engineer,BCA,Government,7.91
Employee_211,40,23,Delhi,Full Stack Developer,MBA,IT MNC,17.46
Employee_212,37,8,Chennai,Business Analyst,PhD,Healthcare,8.26
Employee_213,24,3,Hyderabad,Data Analyst,M.Tech,IT MNC,9.11
Employee_214,41,14,Jaipur,AI Engineer,PhD,Startup,13.74
Employee_215,45,24,Chennai,QA Tester,BCA,Manufacturing,7.9
Employee_216,54,11,Gurgaon,Cloud Engineer,Bachelor's,IT MNC,13.19
Employee_217,45,22,Hyderabad,Software Developer,MBA,Startup,15.82
Employee_218,32,2,Hyderabad,Data Scientist,MBA,IT MNC,10.56
Employee_219,29,22,Lucknow,Software Developer,BCA,Startup,10.48
Employee_220,57,13,Nagpur,Full Stack Developer,PhD,Startup,9.88
Employee_221,41,16,Hyderabad,Cloud Engineer,12th/Diploma,Government,5.79
Employee_222,56,18,Ahmedabad,AI Engineer,B.Tech,Manufacturing,9.78
Employee_223,46,5,Jaipur,Product Manager,MBA,Healthcare,7.89
Employee_224,56,3,Ahmedabad,Full Stack Developer,M.Tech,Manufacturing,4.75
Employee_225,46,6,Delhi,Data Analyst,M.Tech,Manufacturing,7.39
Employee_226,50,18,Pune,Product Manager,MBA,Healthcare,15.1
Employee_227,39,16,Kolkata,Product Manager,BCA,Startup,10.66
Employee_228,39,24,Lucknow,AI Engineer,MBA,Healthcare,15.98
Employee_229,23,15,Jaipur,Data Analyst,PhD,Startup,14.58
Employee_230,56,14,Indore,ML Engineer,BCA,Healthcare,7.09
Employee_231,37,21,Nagpur,Full Stack Developer,12th/Diploma,Government,5.52
Employee_232,57,7,Chennai,DevOps Engineer,M.Tech,Fintech,9.53
Employee_233,54,18,Chandigarh,HR Manager,MBA,IT MNC,11.67
Employee_234,25,7,Delhi,QA Tester,MCA,Manufacturing,5.02
Employee_235,54,17,Bangalore,Cloud Engineer,Bachelor's,Startup,12.68
Employee_236,35,27,Gurgaon,AI Engineer,M.Tech,IT Indian Company,24.84
Employee_237,42,15,Indore,Cloud Engineer,12th/Diploma,Healthcare,5.16
Employee_238,41,19,Pune,Full Stack Developer,MCA,Healthcare,13.64
Employee_239,29,18,Delhi,Data Analyst,M.Tech,E-commerce,14.2
Employee_240,28,9,Bhopal,DevOps Engineer,12th/Diploma,IT Indian Company,4.82
Employee_241,24,16,Bangalore,HR Manager,B.Tech,IT Indian Company,10.26
Employee_242,38,12,Pune,Business Analyst,12th/Diploma,Government,4.94
Employee_243,54,12,Bhopal,Software Developer,12th/Diploma,Manufacturing,3.85
Employee_244,33,6,Bangalore,DevOps Engineer,B.Tech,Fintech,9.77
Employee_245,43,26,Jaipur,AI Engineer,MBA,IT MNC,18.8
Employee_246,43,9,Lucknow,Cloud Engineer,Bachelor's,Fintech,7.34
Employee_247,51,1,Bhopal,DevOps Engineer,PhD,IT MNC,6.1
Employee_248,29,3,Chandigarh,Data Scientist,MCA,Startup,6.0
Employee_249,48,24,Bangalore,Data Analyst,M.Tech,Manufacturing,14.68
Employee_250,48,5,Indore,Data Analyst,PhD,Fintech,8.39
Employee_251,55,23,Pune,Data Scientist,BCA,E-commerce,15.19
Employee_252,42,17,Bangalore,Product Manager,Bachelor's,IT MNC,19.5
Employee_253,51,22,Chandigarh,Product Manager,PhD,Fintech,23.73
Employee_254,54,5,Chennai,Full Stack Developer,M.Tech,Manufacturing,5.83
Employee_255,49,24,Delhi,ML Engineer,12th/Diploma,E-commerce,13.84
Employee_256,54,22,Pune,Software Developer,PhD,Manufacturing,13.89
Employee_257,26,16,Chennai,Data Scientist,BCA,IT Indian Company,11.18
Employee_258,40,13,Bangalore,Full Stack Developer,B.Tech,,9.97
Employee_259,25,23,Bangalore,Cloud Engineer,PhD,Startup,21.98
Employee_260,56,10,Indore,Data Scientist,Bachelor's,Government,5.48
Employee_261,38,25,Hyderabad,ML Engineer,MBA,Manufacturing,17.47
Employee_262,49,18,Pune,QA Tester,MCA,Startup,10.05
Employee_263,51,1,Nagpur,Data Scientist,Bachelor's,Manufacturing,3.4
Employee_264,50,27,Nagpur,ML Engineer,Bachelor's,IT Indian Company,10.06
Employee_265,27,2,Jaipur,ML Engineer,MBA,Manufacturing,4.97
Employee_266,56,10,Bhopal,ML Engineer,BCA,Manufacturing,6.41
Employee_267,45,5,Bangalore,QA Tester,B.Tech,Fintech,7.48
Employee_268,50,13,Indore,Data Analyst,MBA,Healthcare,7.67
Employee_269,52,18,Gurgaon,DevOps Engineer,M.Tech,IT Indian Company,17.37
Employee_270,56,25,Ahmedabad,Data Analyst,B.Tech,E-commerce,11.7
Employee_271,54,15,Kolkata,Full Stack Developer,MBA,Healthcare,10.88
Employee_272,42,20,Ahmedabad,Data Analyst,Bachelor's,IT MNC,11.18
Employee_273,53,21,Jaipur,QA Tester,B.Tech,Fintech,10.07
Employee_274,44,23,Nagpur,Data Analyst,BCA,Healthcare,7.68
Employee_275,54,6,Indore,Cloud Engineer,BCA,IT MNC,7.17
Employee_276,24,26,Delhi,Data Scientist,MCA,IT Indian Company,16.7
Employee_277,39,7,Lucknow,Data Analyst,B.Tech,Manufacturing,5.28
Employee_278,46,18,Mumbai,HR Manager,MCA,Startup,11.37
Employee_279,52,19,Gurgaon,ML Engineer,M.Tech,Healthcare,19.33
Employee_280,24,15,Mumbai,Data Scientist,MBA,Healthcare,17.26
Employee_281,45,21,Bangalore,Product Manager,12th/Diploma,IT MNC,17.09
Employee_282,53,26,Chandigarh,Cloud Engineer,M.Tech,Government,11.7
Employee_283,43,6,Delhi,QA Tester,BCA,IT MNC,6.9
Employee_284,44,8,Chennai,DevOps Engineer,Bachelor's,Startup,6.25
Employee_285,23,12,Indore,Cloud Engineer,PhD,IT MNC,13.98
Employee_286,48,0,Indore,ML Engineer,BCA,IT MNC,4.63
Employee_287,23,7,Bangalore,Data Scientist,12th/Diploma,Healthcare,7.45
Employee_288,47,23,Mumbai,DevOps Engineer,Bachelor's,Startup,13.4
Employee_289,38,21,Bangalore,Software Developer,B.Tech,Startup,14.93
Employee_290,54,3,Kolkata,AI Engineer,PhD,Manufacturing,6.58
Employee_291,30,2,Hyderabad,Cloud Engineer,B.Tech,Healthcare,5.25
Employee_292,50,26,Kolkata,DevOps Engineer,M.Tech,Manufacturing,12.2
Employee_293,47,2,Delhi,Full Stack Developer,PhD,IT Indian Company,6.85
Employee_294,56,21,Indore,DevOps Engineer,BCA,Government,8.43
Employee_295,46,12,Chandigarh,AI Engineer,Bachelor's,Government,6.17
Employee_296,45,7,Chennai,ML Engineer,MBA,IT Indian Company,9.52
Employee_297,34,6,Kolkata,Data Scientist,PhD,Government,6.38
Employee_298,28,26,Nagpur,Software Developer,Bachelor's,Government,6.94
Employee_299,57,0,Pune,Full Stack Developer,MCA,Healthcare,4.45
Employee_300,41,26,Indore,DevOps Engineer,12th/Diploma,IT MNC,10.53
Employee_301,22,15,Indore,HR Manager,M.Tech,Fintech,10.74
Employee_302,29,5,Chennai,Data Analyst,B.Tech,IT Indian Company,5.38
Employee_303,37,6,Bhopal,ML Engineer,BCA,IT Indian Company,4.87
Employee_304,35,11,Chandigarh,Cloud Engineer,Bachelor's,Healthcare,6.28
Employee_305,33,22,Mumbai,Cloud Engineer,B.Tech,Manufacturing,12.36
Employee_306,44,8,Kolkata,AI Engineer,BCA,Healthcare,7.1
Employee_307,36,26,Hyderabad,ML Engineer,PhD,Fintech,25.46
Employee_308,49,10,Chennai,Full Stack Developer,B.Tech,Fintech,10.04
Employee_309,55,9,Bangalore,Product Manager,BCA,Government,7.47
Employee_310,23,20,Hyderabad,Software Developer,B.Tech,Startup,12.82
Employee_311,53,0,Bangalore,QA Tester,MBA,Government,3.5
Employee_312,44,17,Chandigarh,Full Stack Developer,MCA,Healthcare,10.54
Employee_313,43,3,Indore,Software Developer,12th/Diploma,IT Indian Company,2.5
Employee_314,46,4,Kolkata,Business Analyst,B.Tech,Manufacturing,3.78
Employee_315,43,8,Nagpur,Data Scientist,12th/Diploma,Government,3.47
Employee_316,43,26,Gurgaon,Data Scientist,B.Tech,Manufacturing,12.55
Employee_317,27,16,Gurgaon,ML Engineer,M.Tech,Government,13.99
Employee_318,36,2,Mumbai,ML Engineer,Bachelor's,Government,4.44
Employee_319,54,15,Hyderabad,Cloud Engineer,MCA,E-commerce,15.5
Employee_320,29,4,Bangalore,QA Tester,M.Tech,E-commerce,7.19
Employee_321,26,15,Jaipur,QA Tester,MBA,Government,6.32
Employee_322,25,2,Hyderabad,Data Analyst,MCA,IT MNC,6.17
Employee_323,27,19,Pune,AI Engineer,12th/Diploma,IT Indian Company,12.05
Employee_324,53,14,Mumbai,Business Analyst,Bachelor's,Government,6.79
Employee_325,51,2,Ahmedabad,Business Analyst,BCA,E-commerce,3.59
Employee_326,56,19,Ahmedabad,Data Analyst,M.Tech,Manufacturing,11.0
Employee_327,37,13,Bangalore,Full Stack Developer,MCA,IT Indian Company,11.65
Employee_328,34,15,Gurgaon,Cloud Engineer,MBA,Healthcare,12.42
Employee_329,51,16,Chennai,Software Developer,M.Tech,IT Indian Company,10.64
Employee_330,40,27,Pune,Product Manager,Bachelor's,E-commerce,15.88
Employee_331,38,23,Ahmedabad,QA Tester,Bachelor's,Manufacturing,6.01
Employee_332,40,19,Bangalore,DevOps Engineer,12th/Diploma,IT Indian Company,10.57
Employee_333,49,22,Bangalore,Business Analyst,MBA,Fintech,18.34
Employee_334,47,17,Kolkata,HR Manager,Bachelor's,IT MNC,7.83
Employee_335,47,17,Gurgaon,Business Analyst,PhD,Startup,16.02
Employee_336,44,21,Hyderabad,QA Tester,Bachelor's,Manufacturing,7.98
Employee_337,30,13,Indore,Data Scientist,BCA,E-commerce,8.69
Employee_338,33,17,Chennai,Data Analyst,12th/Diploma,Healthcare,7.81
Employee_339,22,14,Kolkata,AI Engineer,12th/Diploma,Startup,7.74
Employee_340,22,14,Nagpur,Product Manager,MBA,IT MNC,17.48
Employee_341,55,5,Ahmedabad,Product Manager,Bachelor's,Manufacturing,6.13
Employee_342,53,26,Chennai,Data Scientist,BCA,Government,9.44
Employee_343,46,14,Mumbai,HR Manager,B.Tech,Manufacturing,5.99
Employee_344,22,17,Bhopal,ML Engineer,MCA,Fintech,11.0
Employee_345,37,3,Nagpur,QA Tester,PhD,Fintech,5.05
Employee_346,26,22,Gurgaon,Product Manager,M.Tech,Fintech,24.41
Employee_347,43,7,Ahmedabad,Full Stack Developer,12th/Diploma,,4.89
Employee_348,50,14,Chandigarh,Full Stack Developer,BCA,E-commerce,8.33
Employee_349,24,2,Bangalore,ML Engineer,MBA,Manufacturing,5.78
Employee_350,33,14,Ahmedabad,Software Developer,BCA,E-commerce,7.44
Employee_351,47,12,Jaipur,Cloud Engineer,Bachelor's,IT Indian Company,6.84
Employee_352,37,8,Delhi,ML Engineer,PhD,Healthcare,14.68
Employee_353,43,1,Chandigarh,Business Analyst,MCA,IT Indian Company,3.37
Employee_354,50,23,Delhi,HR Manager,12th/Diploma,Healthcare,7.07
Employee_355,35,7,Ahmedabad,Full Stack Developer,B.Tech,IT MNC,7.67
Employee_356,49,19,Jaipur,Business Analyst,Bachelor's,Government,6.0
Employee_357,26,16,Ahmedabad,Product Manager,12th/Diploma,IT Indian Company,9.57
Employee_358,51,12,Delhi,Full Stack Developer,M.Tech,IT MNC,13.66
Employee_359,26,0,Kolkata,DevOps Engineer,MBA,Government,3.11
Employee_360,33,1,Mumbai,Cloud Engineer,12th/Diploma,IT MNC,5.55
Employee_361,37,14,Bhopal,AI Engineer,BCA,IT MNC,9.72
Employee_362,47,11,Indore,QA Tester,M.Tech,Fintech,8.66
Employee_363,47,13,Delhi,DevOps Engineer,MCA,Startup,11.89
Employee_364,42,24,Mumbai,QA Tester,PhD,Startup,16.3
